,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,MSA_depth_peptidase,MSA_depth_inhibitors,Binary_Label
SERRALYSIN_and_serralysin_inh_3,SERRALYSIN,serralysin_inh,0,0,0.22,0.828,0.342,87.978,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,78890,1402,1
SERRALYSIN_and_serralysin_inh_4,SERRALYSIN,serralysin_inh,0.51,76263,0.893,0.955,0.905,94.56,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,78890,1402,1
SERRALYSIN_and_serralysin_inh_5,SERRALYSIN,serralysin_inh,0.476,78920,0.88,0.949,0.894,94.568,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,78890,1402,1
SUBTILISIN_A_and_calpastatin_1,SUBTILISIN_A,calpastatin,0.122,2740,0.374,0.39,0.378,40.018,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,127625,4550,0
SUBTILISIN_A_and_calpastatin_2,SUBTILISIN_A,calpastatin,0.143,6196,0.348,0.404,0.359,41.215,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,127625,4550,0
SUBTILISIN_A_and_calpastatin_3,SUBTILISIN_A,calpastatin,0.096,5060,0.318,0.38,0.33,39.848,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,127625,4550,0
SUBTILISIN_A_and_calpastatin_4,SUBTILISIN_A,calpastatin,0.119,3433,0.346,0.384,0.354,40.755,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,127625,4550,0
SUBTILISIN_A_and_calpastatin_5,SUBTILISIN_A,calpastatin,0.083,2773,0.339,0.383,0.348,40.317,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,127625,4550,0
SERRALYSIN_and_ovomucoid_inhibitor_unit_3_1,SERRALYSIN,ovomucoid_inhibitor_unit_3,0,0,0.221,0.744,0.326,81.814,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,78890,17835,0
SERRALYSIN_and_ovomucoid_inhibitor_unit_3_2,SERRALYSIN,ovomucoid_inhibitor_unit_3,0,0,0.229,0.747,0.333,82.352,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,78890,17835,0
SERRALYSIN_and_ovomucoid_inhibitor_unit_3_3,SERRALYSIN,ovomucoid_inhibitor_unit_3,0,0,0.21,0.748,0.317,82.061,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,78890,17835,0
SERRALYSIN_and_ovomucoid_inhibitor_unit_3_4,SERRALYSIN,ovomucoid_inhibitor_unit_3,0,0,0.222,0.749,0.328,81.095,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,78890,17835,0
SERRALYSIN_and_ovomucoid_inhibitor_unit_3_5,SERRALYSIN,ovomucoid_inhibitor_unit_3,0,0,0.206,0.744,0.313,80.502,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,78890,17835,0
PAPAIN_and_cmpi-ii_1,PAPAIN,cmpi-ii,0.123,3209,0.281,0.827,0.391,87.122,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,47245,14284,0
PAPAIN_and_cmpi-ii_2,PAPAIN,cmpi-ii,0.161,4058,0.291,0.831,0.399,88.281,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,47245,14284,0
PAPAIN_and_cmpi-ii_3,PAPAIN,cmpi-ii,0.148,4282,0.305,0.834,0.411,88.855,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,47245,14284,0
PAPAIN_and_cmpi-ii_4,PAPAIN,cmpi-ii,0.137,4031,0.294,0.831,0.401,87.956,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,47245,14284,0
PAPAIN_and_cmpi-ii_5,PAPAIN,cmpi-ii,0.128,2930,0.267,0.824,0.378,87.657,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,47245,14284,0
PEPSIN_and_sqapi_1,PEPSIN,sqapi,0.483,55589,0.839,0.92,0.855,94.379,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,41957,1546,1
PEPSIN_and_sqapi_2,PEPSIN,sqapi,0.01,18,0.239,0.783,0.348,83.839,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,41957,1546,1
PEPSIN_and_sqapi_3,PEPSIN,sqapi,0.49,55532,0.854,0.915,0.866,94.32,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,41957,1546,1
PEPSIN_and_sqapi_4,PEPSIN,sqapi,0.129,1801,0.499,0.783,0.556,84.453,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,41957,1546,1
PEPSIN_and_sqapi_5,PEPSIN,sqapi,0.448,54698,0.864,0.911,0.874,93.816,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,41957,1546,1
THERMOLYSIN_and_impi_1,THERMOLYSIN,impi,0.609,40909,0.889,0.828,0.876,90.919,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,27893,3225,1
THERMOLYSIN_and_impi_2,THERMOLYSIN,impi,0.622,40693,0.902,0.815,0.885,89.495,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,27893,3225,1
THERMOLYSIN_and_impi_3,THERMOLYSIN,impi,0.639,40597,0.916,0.828,0.899,91.226,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,27893,3225,1
THERMOLYSIN_and_impi_4,THERMOLYSIN,impi,0.013,39,0.201,0.716,0.304,84.389,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,27893,3225,1
THERMOLYSIN_and_impi_5,THERMOLYSIN,impi,0.621,40691,0.904,0.832,0.889,89.965,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,27893,3225,1
TRYPSIN_and_latexin_1,TRYPSIN,latexin,0.062,2374,0.229,0.588,0.301,89.702,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,116213,2177,0
TRYPSIN_and_latexin_2,TRYPSIN,latexin,0.13,9312,0.305,0.624,0.369,90.869,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,116213,2177,0
TRYPSIN_and_latexin_3,TRYPSIN,latexin,0.074,3202,0.266,0.602,0.334,90.658,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,116213,2177,0
TRYPSIN_and_latexin_4,TRYPSIN,latexin,0.01,9,0.201,0.579,0.277,90.094,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,116213,2177,0
TRYPSIN_and_latexin_5,TRYPSIN,latexin,0.095,5618,0.285,0.612,0.351,90.334,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,116213,2177,0
CALPAIN_and_rhodniin_1,CALPAIN,rhodniin,0,0,0.237,0.741,0.338,78.815,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,44449,16117,0
CALPAIN_and_rhodniin_2,CALPAIN,rhodniin,0,0,0.263,0.739,0.358,79.005,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,44449,16117,0
CALPAIN_and_rhodniin_3,CALPAIN,rhodniin,0,0,0.272,0.763,0.37,79.666,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,44449,16117,0
CALPAIN_and_rhodniin_4,CALPAIN,rhodniin,0,0,0.257,0.735,0.352,78.125,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,44449,16117,0
CALPAIN_and_rhodniin_5,CALPAIN,rhodniin,0,0,0.257,0.747,0.355,78.467,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,44449,16117,0
TRYPSIN_and_taicotoxin_1,TRYPSIN,taicotoxin,0.727,26105,0.935,0.952,0.939,97.559,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,116213,30799,1
TRYPSIN_and_taicotoxin_2,TRYPSIN,taicotoxin,0.722,26152,0.931,0.95,0.935,97.631,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,116213,30799,1
TRYPSIN_and_taicotoxin_3,TRYPSIN,taicotoxin,0.727,26140,0.935,0.951,0.938,97.573,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,116213,30799,1
TRYPSIN_and_taicotoxin_4,TRYPSIN,taicotoxin,0.725,26156,0.931,0.951,0.935,97.527,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,116213,30799,1
TRYPSIN_and_taicotoxin_5,TRYPSIN,taicotoxin,0.724,26147,0.93,0.952,0.934,97.551,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,116213,30799,1
CARBOXYPEPTIDASE_B_and_tci1_1,CARBOXYPEPTIDASE_B,tci1,0.572,42118,0.861,0.943,0.878,95.352,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,32464,270,1
CARBOXYPEPTIDASE_B_and_tci1_2,CARBOXYPEPTIDASE_B,tci1,0.647,45481,0.914,0.957,0.922,96.907,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,32464,270,1
CARBOXYPEPTIDASE_B_and_tci1_3,CARBOXYPEPTIDASE_B,tci1,0.74,45751,0.954,0.966,0.957,98.067,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,32464,270,1
CARBOXYPEPTIDASE_B_and_tci1_4,CARBOXYPEPTIDASE_B,tci1,0.636,45535,0.906,0.957,0.916,96.716,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,32464,270,1
CARBOXYPEPTIDASE_B_and_tci1_5,CARBOXYPEPTIDASE_B,tci1,0.748,45706,0.959,0.967,0.96,98.143,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,32464,270,1
SPOIVFB_and_bofa_1,SPOIVFB,bofa,0.022,528,0.256,0.651,0.335,64.713,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,18429,3070,1
SPOIVFB_and_bofa_2,SPOIVFB,bofa,0,0,0.222,0.632,0.304,68.82,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,18429,3070,1
SPOIVFB_and_bofa_3,SPOIVFB,bofa,0.061,1977,0.311,0.684,0.386,73.589,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,18429,3070,1
SPOIVFB_and_bofa_4,SPOIVFB,bofa,0,0,0.182,0.656,0.277,70.822,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,18429,3070,1
SPOIVFB_and_bofa_5,SPOIVFB,bofa,0.032,963,0.259,0.657,0.339,69.907,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,18429,3070,1
PEPSIN_and_ecotin_1,PEPSIN,ecotin,0.03,435,0.234,0.711,0.33,85.479,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,41957,4559,0
PEPSIN_and_ecotin_2,PEPSIN,ecotin,0,0,0.15,0.697,0.26,85.203,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,41957,4559,0
PEPSIN_and_ecotin_3,PEPSIN,ecotin,0,0,0.135,0.692,0.246,86.728,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,41957,4559,0
PEPSIN_and_ecotin_4,PEPSIN,ecotin,0.012,14,0.191,0.7,0.293,86.187,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,41957,4559,0
PEPSIN_and_ecotin_5,PEPSIN,ecotin,0.012,6,0.18,0.701,0.284,86.758,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,41957,4559,0
KEXIN_and_kexstatin-1_1,KEXIN,kexstatin-1,0.557,99344,0.892,0.948,0.903,96.394,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,33063,5006,1
KEXIN_and_kexstatin-1_2,KEXIN,kexstatin-1,0.578,100193,0.892,0.95,0.904,96.765,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,33063,5006,1
KEXIN_and_kexstatin-1_3,KEXIN,kexstatin-1,0.569,99195,0.889,0.947,0.901,96.288,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,33063,5006,1
KEXIN_and_kexstatin-1_4,KEXIN,kexstatin-1,0.566,98331,0.896,0.945,0.906,96.111,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,33063,5006,1
KEXIN_and_kexstatin-1_5,KEXIN,kexstatin-1,0.567,98952,0.902,0.948,0.912,96.233,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,33063,5006,1
CHYMOTRYPSIN_A_and_cystatin_B_1,CHYMOTRYPSIN_A,cystatin_B,0.021,52,0.211,0.709,0.31,86.868,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,118780,4936,0
CHYMOTRYPSIN_A_and_cystatin_B_2,CHYMOTRYPSIN_A,cystatin_B,0.103,2794,0.453,0.76,0.514,84.824,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,118780,4936,0
CHYMOTRYPSIN_A_and_cystatin_B_3,CHYMOTRYPSIN_A,cystatin_B,0.013,49,0.172,0.696,0.277,87.092,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,118780,4936,0
CHYMOTRYPSIN_A_and_cystatin_B_4,CHYMOTRYPSIN_A,cystatin_B,0.011,2,0.186,0.72,0.293,86.674,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,118780,4936,0
CHYMOTRYPSIN_A_and_cystatin_B_5,CHYMOTRYPSIN_A,cystatin_B,0.093,2588,0.31,0.747,0.397,88.596,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,118780,4936,0
CATHEPSIN_D_and_latexin_1,CATHEPSIN_D,latexin,0.01,34,0.183,0.606,0.268,86.626,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,40647,2177,0
CATHEPSIN_D_and_latexin_2,CATHEPSIN_D,latexin,0.024,234,0.24,0.638,0.319,85.155,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,40647,2177,0
CATHEPSIN_D_and_latexin_3,CATHEPSIN_D,latexin,0,0,0.241,0.63,0.319,87.75,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,40647,2177,0
CATHEPSIN_D_and_latexin_4,CATHEPSIN_D,latexin,0,0,0.187,0.621,0.274,87.675,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,40647,2177,0
CATHEPSIN_D_and_latexin_5,CATHEPSIN_D,latexin,0.068,4619,0.303,0.665,0.375,88.328,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,40647,2177,0
THERMOLYSIN_and_protease_inhibitor_hpi_1,THERMOLYSIN,protease_inhibitor_hpi,0.118,2774,0.284,0.843,0.396,89.661,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,27893,3665,0
THERMOLYSIN_and_protease_inhibitor_hpi_2,THERMOLYSIN,protease_inhibitor_hpi,0.131,3654,0.32,0.849,0.425,90.548,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,27893,3665,0
THERMOLYSIN_and_protease_inhibitor_hpi_3,THERMOLYSIN,protease_inhibitor_hpi,0.124,4009,0.317,0.848,0.423,90.584,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,27893,3665,0
THERMOLYSIN_and_protease_inhibitor_hpi_4,THERMOLYSIN,protease_inhibitor_hpi,0.123,4423,0.317,0.85,0.424,89.146,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,27893,3665,0
THERMOLYSIN_and_protease_inhibitor_hpi_5,THERMOLYSIN,protease_inhibitor_hpi,0.135,3842,0.315,0.851,0.422,90.701,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,27893,3665,0
TRYPSIN_and_serralysin_inh_1,TRYPSIN,serralysin_inh,0.115,7927,0.35,0.773,0.435,83.891,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,116213,1402,0
TRYPSIN_and_serralysin_inh_2,TRYPSIN,serralysin_inh,0.329,33138,0.663,0.872,0.705,88.494,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,116213,1402,0
TRYPSIN_and_serralysin_inh_3,TRYPSIN,serralysin_inh,0.163,16981,0.464,0.808,0.533,83.329,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,116213,1402,0
TRYPSIN_and_serralysin_inh_4,TRYPSIN,serralysin_inh,0.211,26727,0.572,0.843,0.627,88.68,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,116213,1402,0
TRYPSIN_and_serralysin_inh_5,TRYPSIN,serralysin_inh,0.12,5864,0.322,0.761,0.409,83.39,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,116213,1402,0
CALPAIN_and_calpastatin_1,CALPAIN,calpastatin,0.422,41531,0.825,0.578,0.775,55.885,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,44449,4550,1
CALPAIN_and_calpastatin_2,CALPAIN,calpastatin,0.332,43763,0.779,0.571,0.737,55.405,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,44449,4550,1
CALPAIN_and_calpastatin_3,CALPAIN,calpastatin,0.356,48080,0.785,0.567,0.741,54.891,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,44449,4550,1
CALPAIN_and_calpastatin_4,CALPAIN,calpastatin,0.418,52116,0.85,0.556,0.791,55.137,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,44449,4550,1
CALPAIN_and_calpastatin_5,CALPAIN,calpastatin,0.337,42270,0.769,0.555,0.726,53.837,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,44449,4550,1
CATHEPSIN_L_and_falstatin_1,CATHEPSIN_L,falstatin,0.654,64171,0.935,0.683,0.884,72.589,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,51628,1761,1
CATHEPSIN_L_and_falstatin_2,CATHEPSIN_L,falstatin,0.669,64458,0.935,0.685,0.885,73.104,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,51628,1761,1
CATHEPSIN_L_and_falstatin_3,CATHEPSIN_L,falstatin,0.662,63131,0.936,0.677,0.884,72.369,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,51628,1761,1
CATHEPSIN_L_and_falstatin_4,CATHEPSIN_L,falstatin,0.658,64105,0.93,0.681,0.88,74.053,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,51628,1761,1
CATHEPSIN_L_and_falstatin_5,CATHEPSIN_L,falstatin,0.656,63690,0.928,0.682,0.879,72.668,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,51628,1761,1
KALICREIN_and_erwinia_chrysanthemi_inhibitor_1,KALICREIN,erwinia_chrysanthemi_inhibitor,0.001,1,0.177,0.711,0.284,85.455,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,105380,2137,0
KALICREIN_and_erwinia_chrysanthemi_inhibitor_2,KALICREIN,erwinia_chrysanthemi_inhibitor,0.031,919,0.229,0.727,0.329,86.375,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,105380,2137,0
KALICREIN_and_erwinia_chrysanthemi_inhibitor_3,KALICREIN,erwinia_chrysanthemi_inhibitor,0.017,205,0.216,0.727,0.318,86.555,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,105380,2137,0
KALICREIN_and_erwinia_chrysanthemi_inhibitor_4,KALICREIN,erwinia_chrysanthemi_inhibitor,0,0,0.203,0.721,0.307,83.061,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,105380,2137,0
KALICREIN_and_erwinia_chrysanthemi_inhibitor_5,KALICREIN,erwinia_chrysanthemi_inhibitor,0,0,0.179,0.713,0.285,83.619,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,105380,2137,0
SUBTILISIN_A_and_protease_inhibitor_hpi_1,SUBTILISIN_A,protease_inhibitor_hpi,0.725,35572,0.935,0.956,0.939,97.555,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,127625,3665,1
SUBTILISIN_A_and_protease_inhibitor_hpi_2,SUBTILISIN_A,protease_inhibitor_hpi,0.701,35545,0.927,0.952,0.932,97.304,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,127625,3665,1
SUBTILISIN_A_and_protease_inhibitor_hpi_3,SUBTILISIN_A,protease_inhibitor_hpi,0.715,35576,0.926,0.953,0.931,97.325,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,127625,3665,1
SUBTILISIN_A_and_protease_inhibitor_hpi_4,SUBTILISIN_A,protease_inhibitor_hpi,0.687,35542,0.924,0.951,0.929,97.145,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,127625,3665,1
SUBTILISIN_A_and_protease_inhibitor_hpi_5,SUBTILISIN_A,protease_inhibitor_hpi,0.699,35555,0.927,0.951,0.931,97.189,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,127625,3665,1
CALPAIN_2_and_calpastatin_2_1,CALPAIN_2,calpastatin_2,0.363,35932,0.738,0.575,0.706,54.379,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,44560,5518,1
CALPAIN_2_and_calpastatin_2_2,CALPAIN_2,calpastatin_2,0.256,39651,0.703,0.566,0.676,55.243,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,44560,5518,1
CALPAIN_2_and_calpastatin_2_3,CALPAIN_2,calpastatin_2,0.326,46919,0.754,0.559,0.715,54.797,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,44560,5518,1
CALPAIN_2_and_calpastatin_2_4,CALPAIN_2,calpastatin_2,0.354,38995,0.776,0.55,0.731,53.756,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,44560,5518,1
CALPAIN_2_and_calpastatin_2_5,CALPAIN_2,calpastatin_2,0.296,34603,0.713,0.538,0.678,53.083,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,44560,5518,1
TRYPSIN_and_kunitz_trypsin_inhibitor_4_1,TRYPSIN,kunitz_trypsin_inhibitor_4,0.649,72487,0.901,0.922,0.905,93.334,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,116213,4858,1
TRYPSIN_and_kunitz_trypsin_inhibitor_4_2,TRYPSIN,kunitz_trypsin_inhibitor_4,0.626,74150,0.885,0.92,0.892,93.72,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,116213,4858,1
TRYPSIN_and_kunitz_trypsin_inhibitor_4_3,TRYPSIN,kunitz_trypsin_inhibitor_4,0.645,73300,0.896,0.925,0.902,93.477,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,116213,4858,1
TRYPSIN_and_kunitz_trypsin_inhibitor_4_4,TRYPSIN,kunitz_trypsin_inhibitor_4,0.615,75357,0.874,0.92,0.883,93.987,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,116213,4858,1
TRYPSIN_and_kunitz_trypsin_inhibitor_4_5,TRYPSIN,kunitz_trypsin_inhibitor_4,0.634,74110,0.887,0.919,0.893,93.518,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,116213,4858,1
KALLIKREIN_and_taicotoxin_1,KALLIKREIN,taicotoxin,0.649,27177,0.904,0.925,0.909,94.182,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,105380,30799,1
KALLIKREIN_and_taicotoxin_2,KALLIKREIN,taicotoxin,0.649,27280,0.902,0.923,0.906,94.215,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,105380,30799,1
KALLIKREIN_and_taicotoxin_3,KALLIKREIN,taicotoxin,0.673,27361,0.916,0.931,0.919,94.939,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,105380,30799,1
KALLIKREIN_and_taicotoxin_4,KALLIKREIN,taicotoxin,0.656,27340,0.91,0.926,0.913,94.322,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,105380,30799,1
KALLIKREIN_and_taicotoxin_5,KALLIKREIN,taicotoxin,0.669,27379,0.915,0.931,0.919,94.619,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,105380,30799,1
