,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,MSA_depth_peptidase,MSA_depth_inhibitors,Binary_Label
ANGIOTENSIN_CONVERTING_ENZYME_2_and_upain_1_w3a_5,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.199,7112,0.647,0.906,0.699,92.557,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,23084,21,0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR_and_ps1_1,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.3,1532,0.6,0.942,0.668,94.449,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,143607,1,0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR_and_ps1_2,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.307,1557,0.629,0.94,0.691,94.542,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,143607,1,0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR_and_ps1_3,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.306,1549,0.63,0.942,0.692,94.352,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,143607,1,0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR_and_ps1_4,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.305,1548,0.63,0.942,0.693,94.438,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,143607,1,0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR_and_ps1_5,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.317,1542,0.644,0.944,0.704,94.43,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,143607,1,0
NS3_PROTEASE_and_pep3_1,NS3_PROTEASE,pep3,0.168,1218,0.399,0.883,0.496,88.692,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,20412,1,0
NS3_PROTEASE_and_pep3_2,NS3_PROTEASE,pep3,0.403,2230,0.749,0.881,0.776,90.409,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,20412,1,0
NS3_PROTEASE_and_pep3_3,NS3_PROTEASE,pep3,0.385,2040,0.737,0.869,0.763,89.112,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,20412,1,0
NS3_PROTEASE_and_pep3_4,NS3_PROTEASE,pep3,0.495,2430,0.835,0.886,0.845,91.007,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,20412,1,0
NS3_PROTEASE_and_pep3_5,NS3_PROTEASE,pep3,0.478,2202,0.822,0.864,0.83,87.544,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,20412,1,0
RHOMBOID_PROTEASE_GIPG_and_peptide_boronate_inhibitor_1,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,0.248,1677,0.483,0.823,0.551,84.663,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,21885,1,1
RHOMBOID_PROTEASE_GIPG_and_peptide_boronate_inhibitor_2,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,0.263,1688,0.501,0.828,0.566,85.287,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,21885,1,1
RHOMBOID_PROTEASE_GIPG_and_peptide_boronate_inhibitor_3,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,0.234,1772,0.499,0.827,0.564,84.688,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,21885,1,1
RHOMBOID_PROTEASE_GIPG_and_peptide_boronate_inhibitor_4,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,0.232,1712,0.498,0.821,0.563,83.86,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,21885,1,1
RHOMBOID_PROTEASE_GIPG_and_peptide_boronate_inhibitor_5,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,0.326,1801,0.55,0.825,0.605,84.796,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,21885,1,1
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN_and_neutrophil_collagenase_inhibitor_1,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.275,749,0.596,0.953,0.668,97.578,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,154205,1,0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN_and_neutrophil_collagenase_inhibitor_2,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.296,750,0.624,0.952,0.689,97.477,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,154205,1,0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN_and_neutrophil_collagenase_inhibitor_3,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.36,786,0.711,0.956,0.76,97.738,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,154205,1,0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN_and_neutrophil_collagenase_inhibitor_4,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.342,771,0.681,0.956,0.736,97.84,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,154205,1,0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN_and_neutrophil_collagenase_inhibitor_5,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.292,740,0.633,0.955,0.698,97.616,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,154205,1,0
ENDOTHIAPEPSIN_and_ps1_1,ENDOTHIAPEPSIN,ps1,0.253,2055,0.593,0.944,0.663,96.01,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,41523,1,1
ENDOTHIAPEPSIN_and_ps1_2,ENDOTHIAPEPSIN,ps1,0.254,2045,0.596,0.941,0.665,95.934,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,41523,1,1
ENDOTHIAPEPSIN_and_ps1_3,ENDOTHIAPEPSIN,ps1,0.466,3266,0.868,0.948,0.884,97.556,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,41523,1,1
ENDOTHIAPEPSIN_and_ps1_4,ENDOTHIAPEPSIN,ps1,0.374,2302,0.764,0.947,0.801,96.916,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,41523,1,1
ENDOTHIAPEPSIN_and_ps1_5,ENDOTHIAPEPSIN,ps1,0.27,2047,0.612,0.944,0.678,95.903,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,41523,1,1
CAAX_PRENYL_PROTEASE_1_HOMOLOG_and_3c_like_proteinase_inhibitor_1,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.161,2102,0.577,0.872,0.636,89.282,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,38519,1,0
CAAX_PRENYL_PROTEASE_1_HOMOLOG_and_3c_like_proteinase_inhibitor_2,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.189,2120,0.604,0.873,0.658,89.639,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,38519,1,0
CAAX_PRENYL_PROTEASE_1_HOMOLOG_and_3c_like_proteinase_inhibitor_3,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.031,1482,0.498,0.865,0.571,89.071,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,38519,1,0
CAAX_PRENYL_PROTEASE_1_HOMOLOG_and_3c_like_proteinase_inhibitor_4,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.25,2144,0.642,0.882,0.69,90.038,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,38519,1,0
CAAX_PRENYL_PROTEASE_1_HOMOLOG_and_3c_like_proteinase_inhibitor_5,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.083,2057,0.526,0.873,0.596,89.133,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,38519,1,0
NS3_4A_PROTEASE_and_eqw_1,NS3_4A_PROTEASE,eqw,0.021,1,0.294,0.91,0.417,93.67,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,21034,1,0
NS3_4A_PROTEASE_and_eqw_2,NS3_4A_PROTEASE,eqw,0.105,532,0.418,0.914,0.517,94.251,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,21034,1,0
NS3_4A_PROTEASE_and_eqw_3,NS3_4A_PROTEASE,eqw,0.02,129,0.364,0.905,0.472,93.428,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,21034,1,0
NS3_4A_PROTEASE_and_eqw_4,NS3_4A_PROTEASE,eqw,0.258,609,0.578,0.916,0.646,94.384,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,21034,1,0
NS3_4A_PROTEASE_and_eqw_5,NS3_4A_PROTEASE,eqw,0.015,1,0.314,0.905,0.432,93.193,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,21034,1,0
CALCIUM_DEPENDENT_PROTEASE_and_calpastatin_1,CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.244,1966,0.5,0.886,0.577,89.988,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,30055,8,1
CALCIUM_DEPENDENT_PROTEASE_and_calpastatin_2,CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.681,3600,0.917,0.91,0.915,95.218,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,30055,8,1
CALCIUM_DEPENDENT_PROTEASE_and_calpastatin_3,CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.653,3548,0.903,0.903,0.903,94.669,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,30055,8,1
CALCIUM_DEPENDENT_PROTEASE_and_calpastatin_4,CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.7,3612,0.92,0.914,0.919,95.481,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,30055,8,1
CALCIUM_DEPENDENT_PROTEASE_and_calpastatin_5,CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.681,3662,0.919,0.911,0.917,94.914,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,30055,8,1
METALLOPROTEINASE_and_trypsin_inhibitor_1_kallikrein_1,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.2,2214,0.412,0.914,0.512,91.5,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,27054,59,0
METALLOPROTEINASE_and_trypsin_inhibitor_1_kallikrein_2,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.31,3099,0.582,0.93,0.652,94.148,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,27054,59,0
METALLOPROTEINASE_and_trypsin_inhibitor_1_kallikrein_3,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.628,5059,0.875,0.947,0.889,96.56,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,27054,59,0
METALLOPROTEINASE_and_trypsin_inhibitor_1_kallikrein_4,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.208,2229,0.418,0.916,0.518,91.188,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,27054,59,0
METALLOPROTEINASE_and_trypsin_inhibitor_1_kallikrein_5,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.507,4831,0.792,0.944,0.822,95.912,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,27054,59,0
PROTEINASE_K_and_3c_like_proteinase_inhibitor_1,PROTEINASE_K,3c_like_proteinase_inhibitor,0.37,1527,0.713,0.964,0.763,97.972,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,79377,1,0
PROTEINASE_K_and_3c_like_proteinase_inhibitor_2,PROTEINASE_K,3c_like_proteinase_inhibitor,0.411,1668,0.775,0.964,0.813,98.237,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,79377,1,0
PROTEINASE_K_and_3c_like_proteinase_inhibitor_3,PROTEINASE_K,3c_like_proteinase_inhibitor,0.479,2263,0.864,0.966,0.884,98.382,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,79377,1,0
PROTEINASE_K_and_3c_like_proteinase_inhibitor_4,PROTEINASE_K,3c_like_proteinase_inhibitor,0.427,1761,0.799,0.965,0.832,98.247,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,79377,1,0
PROTEINASE_K_and_3c_like_proteinase_inhibitor_5,PROTEINASE_K,3c_like_proteinase_inhibitor,0.455,2182,0.843,0.966,0.867,98.38,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,79377,1,0
NEUTROPHIL_COLLAGENASE_and_pep2_1,NEUTROPHIL_COLLAGENASE,pep2,0.245,1375,0.485,0.92,0.572,92.734,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,29550,1,0
NEUTROPHIL_COLLAGENASE_and_pep2_2,NEUTROPHIL_COLLAGENASE,pep2,0.326,1507,0.565,0.925,0.637,93.82,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,29550,1,0
NEUTROPHIL_COLLAGENASE_and_pep2_3,NEUTROPHIL_COLLAGENASE,pep2,0.329,1472,0.593,0.923,0.659,94.09,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,29550,1,0
NEUTROPHIL_COLLAGENASE_and_pep2_4,NEUTROPHIL_COLLAGENASE,pep2,0.313,1464,0.56,0.921,0.633,93.511,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,29550,1,0
NEUTROPHIL_COLLAGENASE_and_pep2_5,NEUTROPHIL_COLLAGENASE,pep2,0.294,1434,0.539,0.922,0.616,93.033,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,29550,1,0
METALLOPROTEINASE_and_eqw_1,METALLOPROTEINASE,eqw,0.233,620,0.527,0.945,0.61,96.178,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,27054,1,1
METALLOPROTEINASE_and_eqw_2,METALLOPROTEINASE,eqw,0.292,639,0.588,0.947,0.66,96.519,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,27054,1,1
METALLOPROTEINASE_and_eqw_3,METALLOPROTEINASE,eqw,0.283,628,0.597,0.947,0.667,96.249,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,27054,1,1
METALLOPROTEINASE_and_eqw_4,METALLOPROTEINASE,eqw,0.308,636,0.612,0.948,0.679,96.155,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,27054,1,1
METALLOPROTEINASE_and_eqw_5,METALLOPROTEINASE,eqw,0.26,622,0.589,0.947,0.66,96.368,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,27054,1,1
SUBTILISIN_BPN_and_h77_1,SUBTILISIN_BPN,h77,0.259,2263,0.592,0.951,0.664,96.308,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,140217,8,0
SUBTILISIN_BPN_and_h77_2,SUBTILISIN_BPN,h77,0.364,2646,0.725,0.955,0.771,97.007,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,140217,8,0
SUBTILISIN_BPN_and_h77_3,SUBTILISIN_BPN,h77,0.262,2162,0.554,0.949,0.633,94.972,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,140217,8,0
SUBTILISIN_BPN_and_h77_4,SUBTILISIN_BPN,h77,0.289,2190,0.584,0.952,0.658,95.893,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,140217,8,0
SUBTILISIN_BPN_and_h77_5,SUBTILISIN_BPN,h77,0.257,2173,0.575,0.949,0.65,95.058,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,140217,8,0
ALPHA_THROMBIN_and_hirugen_1,ALPHA_THROMBIN,hirugen,0.652,5841,0.945,0.925,0.941,91.849,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,147369,25,1
ALPHA_THROMBIN_and_hirugen_2,ALPHA_THROMBIN,hirugen,0.643,5657,0.937,0.922,0.934,90.777,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,147369,25,1
ALPHA_THROMBIN_and_hirugen_3,ALPHA_THROMBIN,hirugen,0.641,5536,0.938,0.918,0.934,90.518,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,147369,25,1
ALPHA_THROMBIN_and_hirugen_4,ALPHA_THROMBIN,hirugen,0.63,5498,0.929,0.917,0.927,89.803,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,147369,25,1
ALPHA_THROMBIN_and_hirugen_5,ALPHA_THROMBIN,hirugen,0.623,5658,0.937,0.918,0.933,90.669,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,147369,25,1
SUBTILISIN_LIKE_PROTEASE_and_substrate_analogue_1,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,0.328,4176,0.678,0.907,0.724,90.262,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,17610,9,1
SUBTILISIN_LIKE_PROTEASE_and_substrate_analogue_2,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,0.262,3826,0.605,0.904,0.665,89.76,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,17610,9,1
SUBTILISIN_LIKE_PROTEASE_and_substrate_analogue_3,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,0.245,3850,0.596,0.906,0.658,89.832,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,17610,9,1
SUBTILISIN_LIKE_PROTEASE_and_substrate_analogue_4,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,0.291,3881,0.626,0.906,0.682,89.553,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,17610,9,1
SUBTILISIN_LIKE_PROTEASE_and_substrate_analogue_5,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,0.252,3782,0.603,0.905,0.663,89.225,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,17610,9,1
NEUTROPHIL_COLLAGENASE_and_neutrophil_collagenase_inhibitor_1,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.291,533,0.532,0.935,0.612,95.978,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,29550,1,1
NEUTROPHIL_COLLAGENASE_and_neutrophil_collagenase_inhibitor_2,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.312,532,0.559,0.937,0.635,96.251,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,29550,1,1
NEUTROPHIL_COLLAGENASE_and_neutrophil_collagenase_inhibitor_3,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.288,513,0.544,0.933,0.622,95.887,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,29550,1,1
NEUTROPHIL_COLLAGENASE_and_neutrophil_collagenase_inhibitor_4,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.417,587,0.742,0.937,0.781,96.418,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,29550,1,1
NEUTROPHIL_COLLAGENASE_and_neutrophil_collagenase_inhibitor_5,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.255,501,0.52,0.933,0.602,95.621,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,29550,1,1
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR_and_prelamin_a_c_1,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.294,1047,0.611,0.935,0.676,94.91,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,142884,1,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR_and_prelamin_a_c_2,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.321,1052,0.657,0.936,0.713,95.212,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,142884,1,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR_and_prelamin_a_c_3,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.318,1053,0.665,0.938,0.719,95.068,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,142884,1,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR_and_prelamin_a_c_4,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.34,1052,0.67,0.938,0.724,95.276,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,142884,1,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR_and_prelamin_a_c_5,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.346,1047,0.679,0.939,0.731,95.279,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,142884,1,0
TRYPSIN_and_3c_like_proteinase_inhibitor_1,TRYPSIN,3c_like_proteinase_inhibitor,0.536,1942,0.847,0.953,0.868,98.018,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,153562,1,0
TRYPSIN_and_3c_like_proteinase_inhibitor_2,TRYPSIN,3c_like_proteinase_inhibitor,0.591,1969,0.888,0.952,0.901,97.942,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,153562,1,0
TRYPSIN_and_3c_like_proteinase_inhibitor_3,TRYPSIN,3c_like_proteinase_inhibitor,0.581,2027,0.885,0.954,0.899,98.096,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,153562,1,0
TRYPSIN_and_3c_like_proteinase_inhibitor_4,TRYPSIN,3c_like_proteinase_inhibitor,0.689,2065,0.933,0.958,0.938,98.399,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,153562,1,0
TRYPSIN_and_3c_like_proteinase_inhibitor_5,TRYPSIN,3c_like_proteinase_inhibitor,0.581,2020,0.876,0.956,0.892,98.233,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,153562,1,0
SERINE_PROTEASE_NS3_and_cp5_46_a_peptide_1,SERINE_PROTEASE_NS3,cp5_46_a_peptide,0.699,6930,0.867,0.92,0.877,94.016,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,20917,12,1
SERINE_PROTEASE_NS3_and_cp5_46_a_peptide_2,SERINE_PROTEASE_NS3,cp5_46_a_peptide,0.662,6729,0.861,0.914,0.872,93.472,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,20917,12,1
SERINE_PROTEASE_NS3_and_cp5_46_a_peptide_3,SERINE_PROTEASE_NS3,cp5_46_a_peptide,0.68,6911,0.855,0.916,0.867,93.811,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,20917,12,1
SERINE_PROTEASE_NS3_and_cp5_46_a_peptide_4,SERINE_PROTEASE_NS3,cp5_46_a_peptide,0.617,6365,0.811,0.912,0.831,92.921,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,20917,12,1
SERINE_PROTEASE_NS3_and_cp5_46_a_peptide_5,SERINE_PROTEASE_NS3,cp5_46_a_peptide,0.663,6580,0.852,0.914,0.864,93.406,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,20917,12,1
PROTEINASE_K_and_lactoferrin_1,PROTEINASE_K,lactoferrin,0.317,3018,0.642,0.956,0.704,96.091,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,79377,1,1
PROTEINASE_K_and_lactoferrin_2,PROTEINASE_K,lactoferrin,0.249,2866,0.539,0.952,0.621,95.306,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,79377,1,1
PROTEINASE_K_and_lactoferrin_3,PROTEINASE_K,lactoferrin,0.418,3739,0.723,0.959,0.77,96.694,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,79377,1,1
PROTEINASE_K_and_lactoferrin_4,PROTEINASE_K,lactoferrin,0.395,3583,0.724,0.96,0.771,96.79,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,79377,1,1
